epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3846.66,0.61653,0.73255,1.15984,0.83658,0.75564,0.80218,0.60135,1.08475,0.88445,1.18381,0.00884029,0.00884029,0.00884029
43,3937.34,0.61833,0.73227,1.15858,0.75181,0.77801,0.79425,0.5878,1.07456,0.90252,1.17968,0.008812,0.008812,0.008812
44,4027.96,0.61826,0.73275,1.16115,0.72716,0.78783,0.79114,0.60108,1.07036,0.93632,1.15913,0.00878371,0.00878371,0.00878371
45,4118.61,0.61576,0.72909,1.16745,0.79568,0.76977,0.79248,0.60579,1.04066,0.83104,1.12837,0.00875543,0.00875543,0.00875543
46,4209.33,0.61539,0.73272,1.16127,0.8109,0.77462,0.78722,0.58115,1.11633,0.86586,1.2119,0.00872714,0.00872714,0.00872714
47,4299.82,0.61283,0.73235,1.16203,0.79139,0.76226,0.78511,0.59497,1.05614,0.86583,1.14382,0.00869886,0.00869886,0.00869886
48,4390.48,0.60979,0.71352,1.1591,0.80084,0.77641,0.79321,0.5958,1.08588,0.89811,1.20324,0.00867057,0.00867057,0.00867057
49,4481.06,0.60051,0.7073,1.15217,0.80241,0.76219,0.78922,0.58637,1.09616,0.86012,1.19516,0.00864229,0.00864229,0.00864229
50,4571.64,0.60416,0.69963,1.15371,0.80498,0.78804,0.80125,0.60857,1.10046,0.90872,1.21795,0.008614,0.008614,0.008614
51,4662.3,0.61188,0.71056,1.15341,0.8069,0.80423,0.80544,0.60638,1.08579,0.8102,1.209,0.00858571,0.00858571,0.00858571
52,4752.71,0.59992,0.6968,1.15049,0.79587,0.79482,0.80513,0.61599,1.05588,0.83992,1.16237,0.00855743,0.00855743,0.00855743
53,4843.38,0.60292,0.6939,1.15102,0.79915,0.78187,0.81179,0.60496,1.13594,0.80545,1.23886,0.00852914,0.00852914,0.00852914
54,4934.24,0.59111,0.69216,1.1477,0.79776,0.77621,0.80909,0.61018,1.09713,0.89556,1.20511,0.00850086,0.00850086,0.00850086
55,5024.91,0.60236,0.68159,1.14848,0.78496,0.78658,0.78949,0.60253,1.04476,0.89312,1.16267,0.00847257,0.00847257,0.00847257
56,5115.44,0.60064,0.69475,1.15008,0.75655,0.76426,0.7972,0.61015,1.08485,0.85044,1.18345,0.00844429,0.00844429,0.00844429
57,5205.85,0.59774,0.6822,1.14704,0.80916,0.78106,0.80223,0.61273,1.05402,0.90406,1.16826,0.008416,0.008416,0.008416
58,5296.4,0.59765,0.70227,1.14257,0.79725,0.7814,0.7991,0.61032,1.04671,0.87821,1.15501,0.00838771,0.00838771,0.00838771
59,5387.07,0.59731,0.67319,1.1487,0.79659,0.79249,0.82266,0.62246,1.03609,0.81274,1.14691,0.00835943,0.00835943,0.00835943
60,5477.91,0.59957,0.68103,1.15073,0.78281,0.79661,0.81226,0.61721,1.02333,0.81949,1.11165,0.00833114,0.00833114,0.00833114
61,5568.54,0.59109,0.67438,1.14281,0.84981,0.78784,0.82341,0.62429,0.99678,0.77314,1.11843,0.00830286,0.00830286,0.00830286
62,5659.12,0.60898,0.67986,1.15338,0.76953,0.78319,0.80013,0.61594,1.00519,0.74963,1.10585,0.00827457,0.00827457,0.00827457
63,5749.66,0.60009,0.68551,1.15073,0.76799,0.81289,0.81921,0.62397,1.04811,0.80956,1.15818,0.00824629,0.00824629,0.00824629
