                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3439,                 1.0207,                 1.2862,                0.89885,                0.75801,                0.86405,                0.44376,                 1.9409,                 1.1325,                 1.7823,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.3487,                 1.0376,                 1.2996,                0.72816,                0.79437,                0.78811,                0.38731,                 1.9214,                 1.2955,                 1.7673,             0.00023334,             0.00023334,             0.00023334
                     36,                 1.3116,                  1.003,                 1.2689,                0.94899,                0.84552,                0.89834,                0.44723,                 1.8734,                 1.0453,                 1.7482,              0.0002192,              0.0002192,              0.0002192
                     37,                 1.3178,                 1.0122,                 1.2751,                0.96531,                0.82785,                0.89827,                0.45428,                 1.9076,                 1.0279,                 1.7874,             0.00020506,             0.00020506,             0.00020506
                     38,                 1.3196,                0.98202,                  1.281,                0.85088,                0.83133,                 0.8835,                0.46941,                 1.8935,                 1.0456,                 1.7945,             0.00019092,             0.00019092,             0.00019092
                     39,                 1.2893,                0.94266,                 1.2564,                0.86494,                0.76979,                 0.8486,                0.44432,                 1.8897,                  1.036,                 1.7532,             0.00017679,             0.00017679,             0.00017679
                     40,                 1.2889,                0.92652,                 1.2523,                0.84499,                0.81656,                 0.8662,                0.44946,                 1.8718,                 1.0179,                 1.7766,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.2344,                0.78021,                 1.2918,                0.83015,                0.84329,                0.85394,                0.44345,                 1.8881,                 1.0917,                 1.7685,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.1945,                0.75403,                 1.2604,                0.88548,                0.79001,                 0.8614,                0.44885,                 1.8979,                 1.0306,                 1.7688,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.1818,                 0.6969,                 1.2419,                0.84211,                0.83923,                0.86796,                0.43177,                 1.8768,                 1.0534,                 1.7619,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.1698,                0.68737,                 1.2556,                0.83159,                0.85181,                0.86954,                0.44476,                 1.8972,                 1.0337,                 1.7904,              0.0001061,              0.0001061,              0.0001061
                     45,                 1.1314,                0.67389,                 1.2191,                0.90398,                0.84639,                0.89603,                0.45105,                 1.9014,                0.99699,                 1.7904,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                  1.139,                 0.6664,                 1.2267,                 0.8796,                0.83666,                0.89186,                0.46473,                 1.8945,                 1.0088,                 1.7787,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.1229,                0.66201,                 1.2127,                0.87222,                 0.8472,                0.89107,                0.45901,                 1.9068,                 0.9631,                 1.8154,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.1091,                0.64601,                 1.2058,                0.94866,                0.85417,                0.90114,                 0.4626,                 1.8836,                0.96537,                 1.7741,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.0768,                0.63909,                 1.2009,                 0.9269,                0.85137,                 0.8888,                0.45391,                 1.8937,                0.99092,                 1.7943,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                  1.069,                 0.6292,                 1.1879,                0.89677,                0.85509,                0.88344,                0.45947,                 1.8989,                 1.0127,                 1.8036,             2.1277e-05,             2.1277e-05,             2.1277e-05
