epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2018.25,2.1313,1.94617,1.74064,0.65239,0.3814,0.42879,0.15466,2.29531,2.20001,1.69632,0.00121591,0.00121591,0.00121591
43,2066.38,2.11724,1.91915,1.7331,0.48139,0.36279,0.36788,0.12907,2.32075,2.27228,1.74537,0.00120491,0.00120491,0.00120491
44,2114.31,2.10656,1.89952,1.70115,0.64861,0.37209,0.39882,0.1443,2.42597,2.18028,1.72666,0.00119391,0.00119391,0.00119391
45,2162.22,2.11623,1.80215,1.69853,0.70476,0.3775,0.45574,0.17214,2.39677,2.11572,1.75392,0.0011829,0.0011829,0.0011829
46,2210.14,2.10678,1.85994,1.73578,0.59792,0.38043,0.42019,0.17024,2.33461,2.28809,1.72292,0.0011719,0.0011719,0.0011719
47,2258,2.10287,1.85544,1.7252,0.57313,0.45581,0.45929,0.18736,2.28343,2.15083,1.70381,0.0011609,0.0011609,0.0011609
48,2305.7,2.07279,1.82793,1.69092,0.61051,0.41557,0.45357,0.18168,2.27612,2.1166,1.70748,0.0011499,0.0011499,0.0011499
49,2353.12,2.12039,1.87858,1.69079,0.59978,0.39035,0.4476,0.17228,2.29492,2.11385,1.68859,0.00113889,0.00113889,0.00113889
50,2400.5,2.0952,1.82141,1.70684,0.50936,0.48287,0.43974,0.16349,2.34551,2.17551,1.69319,0.00112789,0.00112789,0.00112789
51,2447.87,2.0554,1.81071,1.66778,0.63348,0.42606,0.45553,0.17568,2.32461,2.15467,1.69769,0.00111689,0.00111689,0.00111689
52,2495.17,2.07062,1.8334,1.69283,0.56177,0.44186,0.47409,0.17939,2.33647,2.22784,1.70886,0.00110589,0.00110589,0.00110589
53,2542.44,2.03849,1.78542,1.66248,0.54029,0.4186,0.40844,0.15334,2.35322,2.25202,1.8014,0.00109489,0.00109489,0.00109489
54,2589.66,2.00197,1.74299,1.65526,0.59188,0.44186,0.45843,0.17864,2.22982,2.07382,1.64436,0.00108388,0.00108388,0.00108388
55,2637.11,1.992,1.71562,1.64506,0.64344,0.41967,0.47254,0.18865,2.29145,2.02851,1.70597,0.00107288,0.00107288,0.00107288
56,2684.43,2.01223,1.72089,1.67187,0.66716,0.41395,0.47617,0.17644,2.29294,2.0507,1.70867,0.00106188,0.00106188,0.00106188
57,2731.67,2.00859,1.69,1.63854,0.55159,0.48837,0.4828,0.18607,2.28417,2.00717,1.74886,0.00105088,0.00105088,0.00105088
58,2778.84,1.99162,1.69634,1.64395,0.56908,0.48837,0.50678,0.18689,2.26315,2.07988,1.70402,0.00103987,0.00103987,0.00103987
59,2826.06,1.99805,1.70217,1.65208,0.70201,0.41639,0.48052,0.19159,2.31274,2.03038,1.69808,0.00102887,0.00102887,0.00102887
60,2873.46,1.99242,1.67569,1.63289,0.64592,0.43273,0.48109,0.18997,2.18836,2.04378,1.64548,0.00101787,0.00101787,0.00101787
61,2920.74,2.0036,1.67438,1.62215,0.66305,0.41395,0.51253,0.19607,2.20956,2.12033,1.70616,0.00100687,0.00100687,0.00100687
