epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3981.5,2.01804,1.86794,1.82384,0.67831,0.48372,0.54496,0.20012,1.66045,1.73796,1.41247,0.008614,0.008614,0.008614
44,4074.89,2.02876,1.86928,1.80966,0.61575,0.49192,0.53162,0.19179,1.76762,1.85895,1.43452,0.008581,0.008581,0.008581
45,4169.11,2.00718,1.81847,1.79876,0.76608,0.44186,0.51294,0.17846,1.69264,1.75695,1.40821,0.008548,0.008548,0.008548
46,4266.22,1.98236,1.75536,1.78558,0.62083,0.54884,0.55744,0.18749,1.75689,2.05609,1.43846,0.008515,0.008515,0.008515
47,4363.18,1.97798,1.77553,1.79927,0.67794,0.45581,0.51792,0.16727,1.81413,1.8981,1.47565,0.008482,0.008482,0.008482
48,4460.57,1.96499,1.75964,1.78506,0.68117,0.45711,0.54581,0.19452,1.71156,2.12999,1.40831,0.008449,0.008449,0.008449
49,4557.28,1.97527,1.80607,1.78006,0.67298,0.50698,0.55612,0.20457,1.67474,1.89065,1.39941,0.008416,0.008416,0.008416
50,4654.26,1.98287,1.77065,1.79384,0.67685,0.52093,0.55425,0.20822,1.69834,1.83557,1.41901,0.008383,0.008383,0.008383
51,4746.53,1.99734,1.74625,1.79095,0.59818,0.53023,0.54866,0.19123,1.74439,1.99194,1.44661,0.00835,0.00835,0.00835
52,4837.78,1.94379,1.68627,1.75748,0.63432,0.55814,0.58113,0.19423,1.75891,2.09535,1.44371,0.008317,0.008317,0.008317
53,4929.04,1.94739,1.65619,1.76515,0.63544,0.53507,0.56751,0.21185,1.73305,1.61344,1.43065,0.008284,0.008284,0.008284
54,5022.01,1.95186,1.69777,1.75925,0.6948,0.50698,0.57827,0.21153,1.75577,1.93996,1.45193,0.008251,0.008251,0.008251
55,5115.3,1.95799,1.72683,1.77918,0.73285,0.46977,0.55304,0.19026,1.74521,1.79694,1.42147,0.008218,0.008218,0.008218
56,5208.47,1.93969,1.66437,1.75886,0.65091,0.49767,0.55904,0.19606,1.76884,2.03249,1.4299,0.008185,0.008185,0.008185
57,5301.48,1.96856,1.67558,1.78055,0.69214,0.49148,0.57135,0.21359,1.6787,1.94526,1.40167,0.008152,0.008152,0.008152
58,5394.62,1.91476,1.61634,1.72824,0.73021,0.54884,0.60195,0.19144,1.73765,1.79691,1.43904,0.008119,0.008119,0.008119
59,5486.69,1.9028,1.62787,1.72243,0.67623,0.53429,0.59557,0.23121,1.74804,1.87769,1.42654,0.008086,0.008086,0.008086
60,5578.62,1.91553,1.63374,1.75944,0.73695,0.51628,0.59621,0.21646,1.71397,1.70533,1.42408,0.008053,0.008053,0.008053
61,5670.1,1.90828,1.61126,1.73486,0.75425,0.51628,0.6151,0.24086,1.63418,1.69497,1.39418,0.00802,0.00802,0.00802
62,5760.72,1.93302,1.64673,1.74036,0.74321,0.56538,0.61341,0.22377,1.69689,1.79405,1.40367,0.007987,0.007987,0.007987
63,5850.39,1.88827,1.56736,1.7147,0.68728,0.6,0.61688,0.21745,1.69627,1.80574,1.39718,0.007954,0.007954,0.007954
64,5940.23,1.89676,1.55805,1.72539,0.67901,0.53023,0.55811,0.20555,1.76109,1.998,1.43304,0.007921,0.007921,0.007921
65,6029.94,1.90788,1.57754,1.72978,0.78664,0.48017,0.60418,0.20531,1.74885,1.66832,1.43221,0.007888,0.007888,0.007888
66,6119.68,1.87823,1.58486,1.70859,0.73163,0.53953,0.61383,0.21405,1.76435,1.81203,1.43416,0.007855,0.007855,0.007855
67,6209.3,1.88259,1.53787,1.72069,0.73212,0.55932,0.63439,0.24982,1.68645,1.68653,1.38007,0.007822,0.007822,0.007822
68,6299.21,1.87845,1.54536,1.72,0.77291,0.56744,0.63134,0.21738,1.74425,1.55262,1.42746,0.007789,0.007789,0.007789
69,6388.92,1.84513,1.5381,1.6765,0.76147,0.55349,0.63171,0.24935,1.66036,1.73851,1.38429,0.007756,0.007756,0.007756
70,6478.78,1.84411,1.53168,1.70872,0.77448,0.53488,0.60182,0.23131,1.64557,1.68865,1.36292,0.007723,0.007723,0.007723
71,6569.86,1.81957,1.49509,1.68674,0.70289,0.60465,0.6372,0.2342,1.70606,1.75504,1.42231,0.00769,0.00769,0.00769
72,6661.55,1.84729,1.48415,1.68205,0.73809,0.54419,0.62198,0.2432,1.68691,1.94944,1.38268,0.007657,0.007657,0.007657
73,6752.97,1.83511,1.5271,1.69711,0.73493,0.57209,0.58967,0.22558,1.72274,1.58049,1.42797,0.007624,0.007624,0.007624
74,6843.61,1.80298,1.45035,1.67008,0.75241,0.5814,0.6435,0.24156,1.67518,1.55056,1.39338,0.007591,0.007591,0.007591
75,6933.92,1.82682,1.42837,1.68313,0.70856,0.6093,0.66157,0.25901,1.63989,1.83427,1.37853,0.007558,0.007558,0.007558
76,7023.91,1.83807,1.43145,1.68448,0.74172,0.57437,0.6021,0.23384,1.64726,1.63791,1.36902,0.007525,0.007525,0.007525
77,7113.94,1.79974,1.4417,1.66433,0.75629,0.5814,0.65009,0.24134,1.66211,1.77589,1.36414,0.007492,0.007492,0.007492
78,7203.78,1.84205,1.45636,1.69256,0.73685,0.56279,0.61249,0.23644,1.62665,1.88125,1.36022,0.007459,0.007459,0.007459
79,7293.79,1.83393,1.47584,1.69298,0.79536,0.56744,0.65074,0.25235,1.69854,1.61743,1.41909,0.007426,0.007426,0.007426
80,7383.78,1.80284,1.40534,1.68601,0.78686,0.54884,0.61689,0.22753,1.73899,1.97166,1.43611,0.007393,0.007393,0.007393
81,7473.96,1.78345,1.3914,1.66008,0.79354,0.6,0.64475,0.25379,1.66704,1.70577,1.37148,0.00736,0.00736,0.00736
82,7563.97,1.79759,1.36637,1.65463,0.76769,0.5907,0.64394,0.25939,1.66193,1.64328,1.36811,0.007327,0.007327,0.007327
83,7653.99,1.75741,1.34192,1.62175,0.73789,0.61395,0.65054,0.25715,1.67339,1.92111,1.38343,0.007294,0.007294,0.007294
84,7744.03,1.77187,1.38041,1.62914,0.7053,0.62326,0.65449,0.2508,1.69405,1.8365,1.39634,0.007261,0.007261,0.007261
85,7833.99,1.81326,1.40373,1.67326,0.83565,0.53488,0.64135,0.25301,1.71717,1.78402,1.40689,0.007228,0.007228,0.007228
86,7923.94,1.76726,1.32865,1.62581,0.75903,0.58604,0.66389,0.271,1.6514,1.87068,1.37307,0.007195,0.007195,0.007195
87,8013.97,1.74383,1.29581,1.62284,0.72142,0.62633,0.67093,0.25397,1.6741,1.63948,1.4032,0.007162,0.007162,0.007162
88,8104.06,1.71826,1.29694,1.62214,0.72755,0.59535,0.6539,0.25928,1.69228,1.66458,1.40053,0.007129,0.007129,0.007129
89,8194.3,1.78812,1.37799,1.66306,0.77798,0.55349,0.63787,0.24671,1.70141,1.96277,1.40456,0.007096,0.007096,0.007096
90,8284.39,1.7439,1.32835,1.62471,0.77475,0.56744,0.64104,0.26005,1.67921,1.80204,1.38573,0.007063,0.007063,0.007063
91,8374.44,1.74996,1.27773,1.63322,0.83082,0.57209,0.66303,0.25309,1.71586,1.73887,1.42467,0.00703,0.00703,0.00703
92,8464.77,1.74263,1.30104,1.61469,0.75238,0.65116,0.66519,0.25499,1.6864,1.60499,1.40927,0.006997,0.006997,0.006997
93,8554.66,1.71358,1.28339,1.60045,0.77976,0.60928,0.67116,0.24435,1.68747,1.62914,1.39078,0.006964,0.006964,0.006964
94,8644.84,1.69959,1.24908,1.5886,0.78834,0.57167,0.65215,0.25514,1.71039,1.73895,1.42786,0.006931,0.006931,0.006931
95,8734.85,1.72664,1.32984,1.60138,0.77542,0.57813,0.6454,0.24302,1.74522,1.64396,1.42645,0.006898,0.006898,0.006898
96,8824.91,1.74428,1.29153,1.62388,0.77794,0.55349,0.65162,0.24848,1.67236,1.5417,1.39907,0.006865,0.006865,0.006865
