epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2119.79,2.01427,2.17024,1.40425,0.50489,0.32941,0.36112,0.1572,1.66077,1.72644,1.27962,0.0011882,0.0011882,0.0011882
43,2168.24,2.05306,2.27378,1.39876,0.58973,0.39412,0.42541,0.19221,1.56765,1.66375,1.24599,0.0011684,0.0011684,0.0011684
44,2216.73,2.03718,2.25357,1.39323,0.59318,0.37647,0.43662,0.18812,1.65308,1.71855,1.27176,0.0011486,0.0011486,0.0011486
45,2265.86,2.10336,2.24026,1.4389,0.44394,0.44118,0.36826,0.16073,1.62655,1.80113,1.27008,0.0011288,0.0011288,0.0011288
46,2313.74,2.02209,2.15534,1.36942,0.52773,0.42941,0.44018,0.19661,1.63264,1.63353,1.2799,0.001109,0.001109,0.001109
47,2361.81,2.09355,2.1598,1.45522,0.51354,0.35396,0.40048,0.16498,1.65606,1.78184,1.26335,0.0010892,0.0010892,0.0010892
48,2409.74,2.01035,2.12262,1.41126,0.56819,0.40588,0.44161,0.19824,1.60031,1.6786,1.23596,0.0010694,0.0010694,0.0010694
49,2457.77,1.96441,2.04273,1.36009,0.52368,0.39412,0.4349,0.19101,1.60848,1.65901,1.24516,0.0010496,0.0010496,0.0010496
50,2506.12,1.97891,2.06588,1.38725,0.54542,0.43529,0.45724,0.20963,1.5332,1.80266,1.2091,0.0010298,0.0010298,0.0010298
51,2554.01,1.94584,2.09946,1.33942,0.64545,0.42353,0.4912,0.22616,1.58892,1.61687,1.24291,0.00101,0.00101,0.00101
52,2601.93,1.95147,2.00769,1.3516,0.49266,0.44555,0.44269,0.19759,1.60248,1.66287,1.22917,0.0009902,0.0009902,0.0009902
53,2650.02,1.99725,1.99977,1.38199,0.59386,0.42353,0.47996,0.22803,1.57785,1.63392,1.20187,0.0009704,0.0009704,0.0009704
54,2697.9,1.96342,1.92613,1.36129,0.66076,0.47647,0.51839,0.2406,1.4956,1.51747,1.19079,0.0009506,0.0009506,0.0009506
55,2745.96,1.92624,2.0101,1.30442,0.63524,0.44052,0.50493,0.22524,1.52942,1.63016,1.19177,0.0009308,0.0009308,0.0009308
56,2793.69,1.94341,1.94303,1.32984,0.62107,0.43529,0.50886,0.23303,1.53402,1.62268,1.1883,0.000911,0.000911,0.000911
57,2841.62,1.94796,1.96871,1.35654,0.6636,0.48824,0.52688,0.23381,1.53369,1.56784,1.21141,0.0008912,0.0008912,0.0008912
58,2889.71,1.94633,2.02768,1.37388,0.60214,0.48965,0.52586,0.23701,1.5182,1.52233,1.20062,0.0008714,0.0008714,0.0008714
59,2937.62,1.87223,1.90495,1.30315,0.60411,0.50588,0.5336,0.23562,1.49498,1.56509,1.183,0.0008516,0.0008516,0.0008516
60,2985.8,1.87942,1.91177,1.34473,0.69256,0.48824,0.57699,0.26603,1.46234,1.51828,1.16213,0.0008318,0.0008318,0.0008318
61,3035.14,1.81277,1.82469,1.29573,0.66759,0.52353,0.55731,0.25455,1.47619,1.47868,1.18191,0.000812,0.000812,0.000812
62,3084.81,1.87733,1.87846,1.32179,0.65366,0.52941,0.56069,0.25773,1.42588,1.46715,1.16748,0.0007922,0.0007922,0.0007922
63,3135.4,1.84216,1.80906,1.29689,0.69867,0.47737,0.57455,0.26931,1.48612,1.43594,1.1772,0.0007724,0.0007724,0.0007724
64,3184.9,1.87856,1.84097,1.3018,0.68015,0.48824,0.55535,0.26631,1.46182,1.45765,1.17338,0.0007526,0.0007526,0.0007526
65,3234.02,1.88935,1.86899,1.32198,0.67208,0.51843,0.56578,0.27031,1.38442,1.47408,1.13049,0.0007328,0.0007328,0.0007328
66,3283.39,1.81573,1.69871,1.27743,0.64204,0.51176,0.56849,0.27583,1.44998,1.44159,1.16236,0.000713,0.000713,0.000713
67,3332.69,1.88908,1.82723,1.30539,0.70948,0.56026,0.60976,0.29826,1.44738,1.42982,1.14537,0.0006932,0.0006932,0.0006932
68,3381.99,1.82643,1.82622,1.26306,0.6942,0.52353,0.58946,0.29093,1.40624,1.3993,1.13533,0.0006734,0.0006734,0.0006734
69,3430.87,1.84447,1.70448,1.30138,0.69201,0.57647,0.62468,0.3165,1.41059,1.37885,1.15946,0.0006536,0.0006536,0.0006536
70,3479.28,1.76741,1.67547,1.27598,0.65692,0.57445,0.61371,0.30696,1.38817,1.42052,1.1336,0.0006338,0.0006338,0.0006338
71,3527.51,1.77434,1.73955,1.25362,0.68782,0.57059,0.6085,0.31007,1.38088,1.39227,1.12837,0.000614,0.000614,0.000614
72,3575.85,1.79382,1.70978,1.26971,0.65471,0.59412,0.62693,0.30967,1.37532,1.35457,1.12553,0.0005942,0.0005942,0.0005942
73,3624.28,1.75406,1.61875,1.24409,0.63035,0.61176,0.61887,0.30338,1.47176,1.40522,1.17147,0.0005744,0.0005744,0.0005744
74,3673.34,1.80144,1.64306,1.27202,0.67493,0.61067,0.62312,0.306,1.39084,1.33828,1.14007,0.0005546,0.0005546,0.0005546
75,3722.19,1.82195,1.70825,1.29425,0.68497,0.57556,0.60726,0.30721,1.34916,1.37355,1.12416,0.0005348,0.0005348,0.0005348
76,3770.7,1.8443,1.77814,1.31248,0.68506,0.58824,0.64349,0.32973,1.36271,1.31652,1.12319,0.000515,0.000515,0.000515
77,3819.37,1.7735,1.61905,1.2704,0.75176,0.60588,0.67371,0.34432,1.35316,1.31186,1.12044,0.0004952,0.0004952,0.0004952
78,3867.94,1.70497,1.57846,1.25296,0.73686,0.61176,0.66549,0.35139,1.36145,1.35065,1.11534,0.0004754,0.0004754,0.0004754
79,3916.47,1.67459,1.5148,1.20304,0.7278,0.59412,0.64076,0.33407,1.34235,1.39292,1.10717,0.0004556,0.0004556,0.0004556
80,3964.79,1.71744,1.56717,1.22974,0.71956,0.58824,0.67278,0.35577,1.33722,1.28749,1.11207,0.0004358,0.0004358,0.0004358
81,4013.28,1.73376,1.59311,1.25108,0.72156,0.62499,0.69566,0.36015,1.37837,1.2649,1.13188,0.000416,0.000416,0.000416
82,4061.64,1.65397,1.50851,1.19412,0.77923,0.64363,0.70387,0.3655,1.36092,1.23299,1.11939,0.0003962,0.0003962,0.0003962
83,4110.16,1.72893,1.58229,1.21043,0.77623,0.64118,0.69628,0.36646,1.38134,1.33577,1.12316,0.0003764,0.0003764,0.0003764
84,4158.91,1.68801,1.54258,1.21907,0.73346,0.65294,0.71737,0.37305,1.32969,1.18737,1.10305,0.0003566,0.0003566,0.0003566
85,4207.02,1.62992,1.50198,1.16159,0.6795,0.66471,0.68674,0.35355,1.36318,1.25442,1.11658,0.0003368,0.0003368,0.0003368
86,4255.43,1.69378,1.48656,1.23417,0.77926,0.65294,0.71487,0.38294,1.32277,1.16793,1.09736,0.000317,0.000317,0.000317
87,4304.1,1.6621,1.47097,1.20336,0.78757,0.64118,0.73039,0.3923,1.29891,1.14736,1.08973,0.0002972,0.0002972,0.0002972
88,4352.42,1.64591,1.45054,1.19217,0.79417,0.65819,0.7345,0.39767,1.27119,1.12256,1.06901,0.0002774,0.0002774,0.0002774
89,4401.15,1.6853,1.49751,1.23185,0.85833,0.65882,0.73104,0.39832,1.27746,1.15128,1.07421,0.0002576,0.0002576,0.0002576
90,4449.48,1.62573,1.48767,1.17402,0.81044,0.62941,0.72338,0.39474,1.31302,1.1714,1.08384,0.0002378,0.0002378,0.0002378
91,4511.11,1.37363,1.22878,1.06106,0.77,0.67647,0.72811,0.38896,1.30371,1.1219,1.07569,0.000218,0.000218,0.000218
92,4558.96,1.40413,1.2383,1.09203,0.79514,0.68498,0.73781,0.39605,1.30213,1.11148,1.08129,0.0001982,0.0001982,0.0001982
93,4607.73,1.39798,1.2458,1.09135,0.81743,0.63211,0.7453,0.3937,1.3017,1.11341,1.08091,0.0001784,0.0001784,0.0001784
94,4655.59,1.39886,1.21792,1.09759,0.85774,0.63842,0.74415,0.40639,1.29518,1.11677,1.07781,0.0001586,0.0001586,0.0001586
95,4703.84,1.41922,1.18366,1.12483,0.80387,0.6751,0.74107,0.40683,1.28545,1.0807,1.07456,0.0001388,0.0001388,0.0001388
96,4752.64,1.39761,1.17163,1.08982,0.79591,0.66527,0.74871,0.4071,1.26647,1.07399,1.06389,0.000119,0.000119,0.000119
97,4800.5,1.38926,1.18129,1.0882,0.80211,0.67647,0.74218,0.4095,1.26714,1.06123,1.06172,9.92e-05,9.92e-05,9.92e-05
98,4848.05,1.38713,1.19324,1.0952,0.81743,0.68824,0.75513,0.41524,1.25673,1.05334,1.05703,7.94e-05,7.94e-05,7.94e-05
99,4895.46,1.31984,1.13927,1.04062,0.79542,0.68615,0.76101,0.42144,1.24778,1.06008,1.05603,5.96e-05,5.96e-05,5.96e-05
100,4942.84,1.34263,1.14575,1.06173,0.79701,0.69412,0.76207,0.41962,1.24058,1.0602,1.05412,3.98e-05,3.98e-05,3.98e-05
