epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3565.31,1.24443,0.78417,1.02155,0.95676,0.91106,0.95139,0.68651,0.83367,0.64263,0.81006,0.005842,0.005842,0.005842
44,3647.98,1.23936,0.77159,1.02733,0.95638,0.90285,0.9386,0.66453,0.9057,0.63382,0.85682,0.005743,0.005743,0.005743
45,3731.3,1.19961,0.7595,1.00915,0.96913,0.92338,0.95478,0.70087,0.8628,0.57888,0.83946,0.005644,0.005644,0.005644
46,3814.68,1.2053,0.76308,1.01397,0.9302,0.94071,0.95544,0.70681,0.84184,0.52173,0.84088,0.005545,0.005545,0.005545
47,3897.19,1.18147,0.73457,1.00034,0.97756,0.92353,0.95839,0.7165,0.79821,0.50934,0.79961,0.005446,0.005446,0.005446
48,3978.22,1.17584,0.7421,1.00339,0.94885,0.92941,0.9537,0.70464,0.84593,0.58902,0.82678,0.005347,0.005347,0.005347
49,4058.87,1.16496,0.71843,0.99562,0.94,0.92153,0.94497,0.69332,0.83543,0.61053,0.81655,0.005248,0.005248,0.005248
50,4139.66,1.15039,0.70926,0.99029,0.97297,0.91765,0.9558,0.73368,0.76229,0.51267,0.79251,0.005149,0.005149,0.005149
51,4220.71,1.12738,0.70058,0.98195,0.96907,0.92353,0.95101,0.70884,0.78374,0.50053,0.80126,0.00505,0.00505,0.00505
52,4301.37,1.11744,0.69574,0.97841,0.9634,0.94118,0.96021,0.73197,0.73892,0.50225,0.79194,0.004951,0.004951,0.004951
53,4381.88,1.11875,0.67725,0.97914,0.94105,0.93902,0.95712,0.73186,0.76508,0.58285,0.80865,0.004852,0.004852,0.004852
54,4461.71,1.10209,0.6652,0.98026,0.95284,0.93529,0.96568,0.73954,0.76961,0.52388,0.81033,0.004753,0.004753,0.004753
55,4543.72,1.09479,0.66572,0.97303,0.95693,0.91476,0.95779,0.73231,0.76827,0.50854,0.79232,0.004654,0.004654,0.004654
56,4627.41,1.06279,0.64524,0.95985,0.96058,0.93529,0.96589,0.74887,0.73021,0.61725,0.79677,0.004555,0.004555,0.004555
57,4709.38,1.06089,0.65001,0.96068,0.95903,0.92353,0.96073,0.74425,0.73077,0.52433,0.79422,0.004456,0.004456,0.004456
58,4791.35,1.05887,0.63791,0.96129,0.98465,0.93529,0.97525,0.76185,0.71631,0.46394,0.79206,0.004357,0.004357,0.004357
59,4873.39,1.04494,0.6312,0.95221,0.97435,0.95294,0.96621,0.76571,0.6613,0.4942,0.75753,0.004258,0.004258,0.004258
60,4955.28,1.02973,0.63365,0.94897,0.96972,0.94196,0.97003,0.7596,0.718,0.62438,0.7903,0.004159,0.004159,0.004159
61,5037.7,1.01216,0.6159,0.94365,0.9694,0.93182,0.9736,0.7703,0.71718,0.51463,0.79584,0.00406,0.00406,0.00406
62,5119.63,1.01853,0.61679,0.94685,0.95875,0.95708,0.9689,0.76554,0.7277,0.54498,0.79272,0.003961,0.003961,0.003961
63,5200.42,0.99049,0.6012,0.93961,0.98483,0.95294,0.98009,0.76449,0.72361,0.45969,0.78961,0.003862,0.003862,0.003862
64,5282.45,1.00126,0.60495,0.94444,0.97616,0.96348,0.9743,0.77887,0.68455,0.44637,0.78338,0.003763,0.003763,0.003763
65,5365.51,0.96677,0.58314,0.92984,0.96096,0.96471,0.97527,0.79357,0.65391,0.44984,0.77769,0.003664,0.003664,0.003664
66,5447.5,0.97539,0.59059,0.93036,0.97015,0.95577,0.97676,0.79184,0.67378,0.47335,0.77011,0.003565,0.003565,0.003565
67,5528.85,0.96504,0.5837,0.93079,0.95893,0.96471,0.97542,0.79375,0.65184,0.48783,0.77583,0.003466,0.003466,0.003466
68,5610.75,0.95156,0.57283,0.92637,0.95863,0.95403,0.97017,0.79028,0.64301,0.50321,0.76471,0.003367,0.003367,0.003367
69,5692.46,0.9255,0.55774,0.91629,0.95905,0.96438,0.97642,0.78619,0.63185,0.5072,0.75846,0.003268,0.003268,0.003268
70,5774.19,0.92061,0.55297,0.91768,0.95727,0.96471,0.97689,0.79579,0.64172,0.46708,0.76421,0.003169,0.003169,0.003169
71,5856.74,0.92074,0.54876,0.91338,0.97025,0.95935,0.97984,0.79643,0.66048,0.43259,0.7702,0.00307,0.00307,0.00307
72,5938.53,0.90588,0.53814,0.91012,0.98369,0.95882,0.9802,0.81255,0.62479,0.42554,0.75881,0.002971,0.002971,0.002971
73,6020.21,0.88543,0.53251,0.90447,0.98181,0.95271,0.97746,0.80914,0.61289,0.38081,0.76341,0.002872,0.002872,0.002872
74,6101.94,0.8827,0.52688,0.9026,0.98169,0.94631,0.97688,0.81609,0.62364,0.45797,0.76415,0.002773,0.002773,0.002773
75,6183.76,0.87277,0.5255,0.89921,0.97108,0.95294,0.97675,0.81124,0.61716,0.42353,0.76868,0.002674,0.002674,0.002674
76,6265.41,0.88577,0.53306,0.90683,0.96492,0.97078,0.9788,0.81388,0.60223,0.37875,0.76591,0.002575,0.002575,0.002575
77,6347.09,0.85744,0.52436,0.89576,0.97622,0.96589,0.97299,0.82295,0.57335,0.39958,0.76152,0.002476,0.002476,0.002476
78,6428.64,0.8425,0.50943,0.8951,0.98786,0.95704,0.97456,0.82153,0.591,0.38758,0.76586,0.002377,0.002377,0.002377
79,6509.98,0.83328,0.50397,0.89018,0.988,0.96848,0.97407,0.82223,0.58645,0.36773,0.76604,0.002278,0.002278,0.002278
80,6591.5,0.82183,0.49804,0.88608,0.98219,0.97312,0.9779,0.82019,0.58425,0.34998,0.76169,0.002179,0.002179,0.002179
81,6672.84,0.82232,0.48996,0.88728,0.98219,0.97319,0.97446,0.82835,0.56853,0.34265,0.76125,0.00208,0.00208,0.00208
82,6754.56,0.82365,0.48994,0.88553,0.9861,0.97059,0.97545,0.83269,0.55367,0.34226,0.75509,0.001981,0.001981,0.001981
83,6836.34,0.80542,0.48313,0.8874,0.98691,0.97647,0.97507,0.83955,0.57954,0.36133,0.76383,0.001882,0.001882,0.001882
84,6918.2,0.80367,0.48858,0.88717,0.98661,0.97059,0.97571,0.84218,0.56598,0.36355,0.76108,0.001783,0.001783,0.001783
85,7001.98,0.78808,0.47238,0.88127,0.98635,0.97059,0.97602,0.84067,0.56051,0.36529,0.75981,0.001684,0.001684,0.001684
86,7082.69,0.77465,0.46976,0.87331,0.98524,0.96471,0.97589,0.83736,0.55403,0.35378,0.75824,0.001585,0.001585,0.001585
87,7164.34,0.76866,0.47028,0.87585,0.98272,0.96471,0.97581,0.84012,0.55169,0.35517,0.75959,0.001486,0.001486,0.001486
88,7245.57,0.75562,0.46049,0.87078,0.98802,0.96988,0.97602,0.84144,0.543,0.34584,0.75819,0.001387,0.001387,0.001387
89,7331.1,0.75351,0.4614,0.87041,0.98809,0.97592,0.97552,0.84319,0.53706,0.34696,0.75324,0.001288,0.001288,0.001288
90,7415.07,0.74951,0.45788,0.87074,0.98652,0.97647,0.97522,0.84861,0.53121,0.3551,0.74666,0.001189,0.001189,0.001189
91,7517.64,0.66243,0.3813,0.84779,0.98551,0.97647,0.97579,0.84763,0.53328,0.34815,0.74819,0.00109,0.00109,0.00109
92,7600.01,0.65371,0.37358,0.84515,0.98806,0.97389,0.9764,0.84683,0.53122,0.3174,0.74962,0.000991,0.000991,0.000991
93,7682.16,0.63855,0.37339,0.84376,0.97536,0.97647,0.97829,0.85421,0.52216,0.30476,0.74822,0.000892,0.000892,0.000892
94,7764.62,0.62231,0.36383,0.83623,0.98224,0.97616,0.97655,0.8563,0.52201,0.30326,0.74818,0.000793,0.000793,0.000793
95,7846.65,0.61614,0.35801,0.83736,0.98222,0.97514,0.9787,0.84852,0.52084,0.30434,0.7501,0.000694,0.000694,0.000694
96,7928.72,0.60282,0.35084,0.83127,0.98222,0.97493,0.97699,0.85561,0.50941,0.30197,0.75037,0.000595,0.000595,0.000595
97,8010.67,0.59861,0.35279,0.8319,0.98015,0.97647,0.97703,0.85952,0.50175,0.29944,0.7485,0.000496,0.000496,0.000496
98,8091.98,0.57935,0.34422,0.82115,0.98225,0.97647,0.97736,0.86086,0.50142,0.29584,0.74862,0.000397,0.000397,0.000397
99,8171.63,0.57154,0.35058,0.82391,0.98806,0.97353,0.97724,0.86614,0.49831,0.29708,0.74938,0.000298,0.000298,0.000298
100,8252.31,0.56757,0.33509,0.82942,0.98678,0.97647,0.97726,0.86795,0.49365,0.29325,0.74975,0.000199,0.000199,0.000199
